x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16
7.09231, 1.59731, 5.61373, 0.129495, 7.82779, 3.44025, 5.94087, 4.49344, 6.51956, 0.47675, 6.03225, 2.26182, 4.66606, 4.63672, 1.01189, 4.43197, 3.96299, 5.28783, 5.70565, 5.9821, 0.892118, 2.09712, 6.47442, 3.44917, 7.7243, 4.63988, 2.89271, 0.024325, 5.13499, 3.52029, 2.50835, 1.53154
7.09009, 1.62087, 5.60829, 0.148885, 7.80672, 3.42491, 5.9493, 4.48673, 6.53497, 0.474444, 6.05295, 2.2719, 4.66481, 4.63684, 1.00246, 4.44854, 3.97879, 5.2954, 5.70838, 5.97584, 0.902046, 2.09725, 6.46211, 3.44462, 7.71835, 4.63857, 2.88667, 0.0139054, 5.13524, 3.50339, 2.49882, 1.5179
7.08759, 1.64438, 5.59971, 0.167177, 7.7855, 3.40981, 5.95744, 4.47983, 6.55363, 0.473486, 6.0739, 2.28214, 4.66812, 4.63271, 0.992741, 4.46509, 3.99044, 5.30701, 5.71108, 5.96942, 0.911961, 2.09741, 6.44967, 3.44001, 7.71255, 4.63696, 2.88062, 0.00357692, 5.13581, 3.48681, 2.48926, 1.5042
7.08482, 1.66785, 5.58893, 0.184772, 7.76411, 3.39493, 5.96529, 4.47276, 6.57458, 0.473473, 6.09505, 2.29256, 4.67556, 4.62462, 0.982734, 4.4816, 3.99836, 5.32237, 5.71373, 5.96283, 0.921868, 2.09758, 6.43713, 3.43531, 7.70692, 4.63505, 2.87454, 7.99334, 5.13672, 3.47055, 2.47967, 1.49042
7.08183, 1.69127, 5.57682, 0.201984, 7.74255, 3.38028, 5.97284, 4.46558, 6.59695, 0.474088, 6.11637, 2.30315, 4.68614, 4.61344, 0.972443, 4.49809, 4.00355, 5.34059, 5.71634, 5.95608, 0.931768, 2.09776, 6.42451, 3.4305, 7.70144, 4.63283, 2.86843, 7.9832, 5.13798, 3.4546, 2.47004, 1.47657
7.07869, 1.71459, 5.56401, 0.219019, 7.72079, 3.36585, 5.98007, 4.45831, 6.62011, 0.47512, 6.13776, 2.31394, 4.6988, 4.60021, 0.961873, 4.51456, 4.00706, 5.36065, 5.71891, 5.94917, 0.941666, 2.09795, 6.41186, 3.42555, 7.69611, 4.63031, 2.86231, 7.97315, 5.1396, 3.43897, 2.46039, 1.46265
7.07554, 1.73777, 5.55093, 0.235997, 7.69882, 3.35163, 5.98697, 4.45102, 6.64361, 0.476446, 6.1591, 2.32493, 4.71275, 4.58575, 0.951025, 4.531, 4.00969, 5.38173, 5.72144, 5.9421, 0.951566, 2.09815, 6.3992, 3.4205, 7.69094, 4.62749, 2.85616, 7.96319, 5.14157, 3.42364, 2.4507, 1.44866
7.07256, 1.76068, 5.53784, 0.252982, 7.67664, 3.3376, 5.99351, 4.44377, 6.66719, 0.477997, 6.18015, 2.33614, 4.72747, 4.57061, 0.939901, 4.54742, 4.01195, 5.40327, 5.72392, 5.93486, 0.961472, 2.09835, 6.38658, 3.41536, 7.68591, 4.62439, 2.84999, 7.95333, 5.14392, 3.40862, 2.44097, 1.43461
7.07007, 1.78315, 5.52488, 0.270003, 7.65422, 3.32376, 5.99968, 4.43662, 6.6907, 0.479738, 6.20061, 2.34762, 4.74268, 4.55512, 0.928504, 4.56382, 4.01415, 5.42496, 5.72637, 5.92746, 0.971387, 2.09855, 6.37408, 3.41024, 7.68103, 4.62101, 2.8438, 7.94356, 5.14665, 3.3939, 2.4312, 1.42049
7.06849, 1.80492, 5.51213, 0.287072, 7.63155, 3.31009, 6.00546, 4.42964, 6.71407, 0.481651, 6.21999, 2.35941, 4.7582, 4.53946, 0.916836, 4.5802, 4.01644, 5.4466, 5.72876, 5.91989, 0.981317, 2.09874, 6.36174, 3.40529, 7.67629, 4.61736, 2.83757, 7.9339, 5.14975, 3.37949, 2.42139, 1.40631
7.06844, 1.82562, 5.49962, 0.304189, 7.60862, 3.29656, 6.01082, 4.42292, 6.73724, 0.483729, 6.23769, 2.37159, 4.77399, 4.52373, 0.9049, 4.59655, 4.01889, 5.4681, 5.73111, 5.91215, 0.991264, 2.09892, 6.34963, 3.40076, 7.67169, 4.61345, 2.83133, 7.92433, 5.15323, 3.36537, 2.41154, 1.39206
7.0706, 1.8448, 5.48735, 0.321353, 7.5854, 3.28316, 6.01575, 4.41654, 6.76022, 0.485968, 6.25297, 2.38418, 4.78999, 4.50796, 0.8927, 4.61288, 4.02153, 5.48942, 5.73342, 5.90425, 1.00123, 2.09908, 6.33783, 3.39697, 7.66722, 4.60928, 2.82506, 7.91486, 5.15708, 3.35154, 2.40164, 1.37774
7.07568, 1.86203, 5.47532, 0.338558, 7.56187, 3.26987, 6.02024, 4.41061, 6.783, 0.488365, 6.26515, 2.39709, 4.80621, 4.49218, 0.88024, 4.62918, 4.02437, 5.51057, 5.73567, 5.89617, 1.01123, 2.09923, 6.3264, 3.39441, 7.66287, 4.60487, 2.81876, 7.90549, 5.16128, 3.338, 2.3917, 1.36337
7.08416, 1.87702, 5.46351, 0.355799, 7.53802, 3.25665, 6.02425, 4.40525, 6.80559, 0.490921, 6.27375, 2.40995, 4.82265, 4.47637, 0.867525, 4.64545, 4.02741, 5.53153, 5.73788, 5.88793, 1.02126, 2.09935, 6.3154, 3.39365, 7.65865, 4.60023, 2.81243, 7.89622, 5.16581, 3.32474, 2.3817, 1.34894
7.09611, 1.88975, 5.45191, 0.373071, 7.51383, 3.24348, 6.02777, 4.4006, 6.82802, 0.493634, 6.27872, 2.42205, 4.83931, 4.46053, 0.854562, 4.6617, 4.03062, 5.55233, 5.74005, 5.87952, 1.03132, 2.09945, 6.30489, 3.39528, 7.65453, 4.59537, 2.80608, 7.88706, 5.17064, 3.31175, 2.37166, 1.33445
7.11123, 1.90046, 5.44049, 0.39037, 7.48929, 3.23032, 6.03077, 4.39686, 6.8503, 0.496505, 6.28039, 2.43247, 4.85619, 4.44465, 0.841358, 4.67791, 4.034, 5.57297, 5.74216, 5.87093, 1.04142, 2.09951, 6.29493, 3.39982, 7.65051, 4.5903, 2.79969, 7.878, 5.17572, 3.29901, 2.36156, 1.3199
7.12895, 1.90959, 5.42924, 0.407693, 7.46438, 3.21715, 6.03323, 4.39432, 6.87244, 0.499531, 6.27939, 2.44039, 4.87328, 4.42872, 0.827923, 4.69408, 4.03753, 5.59349, 5.74423, 5.86217, 1.05156, 2.09954, 6.2856, 3.40745, 7.64657, 4.58502, 2.79328, 7.86905, 5.181, 3.28652, 2.3514, 1.30529
7.14866, 1.91758, 5.41813, 0.425038, 7.43909, 3.20393, 6.03509, 4.39335, 6.89446, 0.502714, 6.27639, 2.44534, 4.89056, 4.41274, 0.814268, 4.71022, 4.0412, 5.61388, 5.74625, 5.85322, 1.06175, 2.09952, 6.27701, 3.41784, 7.64271, 4.57955, 2.78683, 7.86021, 5.18641, 3.27423, 2.34119, 1.29063
7.16978, 1.92483, 5.40716, 0.442401, 7.41344, 3.19063, 6.03629, 4.39445, 6.91638, 0.506054, 6.27198, 2.44738, 4.908, 4.39668, 0.800407, 4.72632, 4.045, 5.63418, 5.74822, 5.8441, 1.07198, 2.09946, 6.26931, 3.43009, 7.6389, 4.57389, 2.78035, 7.85148, 5.19188, 3.26213, 2.33092, 1.27592
7.19184, 1.93167, 5.3963, 0.459781, 7.38743, 3.17723, 6.03679, 4.39822, 6.93821, 0.50955, 6.26664, 2.44688, 4.92554, 4.38056, 0.786355, 4.74239, 4.04892, 5.65438, 5.75014, 5.83478, 1.08227, 2.09934, 6.26267, 3.44297, 7.63512, 4.56805, 2.77384, 7.84286, 5.19733, 3.25017, 2.32059, 1.26116
7.21451, 1.93831, 5.38555, 0.477178, 7.36109, 3.16369, 6.03657, 4.40525, 6.95997, 0.513201, 6.26073, 2.44436, 4.94308, 4.36438, 0.772128, 4.75841, 4.05295, 5.67451, 5.75202, 5.82527, 1.0926, 2.09917, 6.25726, 3.45521, 7.63136, 4.56205, 2.7673, 7.83435, 5.20268, 3.23831, 2.31019, 1.24636
7.23749, 1.94491, 5.3749, 0.494591, 7.33446, 3.15, 6.03569, 4.41596, 6.98166, 0.517008, 6.25452, 2.44031, 4.9605, 4.34811, 0.757746, 4.7744, 4.05709, 5.69458, 5.75385, 5.81555, 1.10299, 2.09893, 6.25318, 3.46582, 7.62759, 4.55588, 2.76072, 7.82596, 5.20787, 3.2265, 2.29974, 1.2315
7.26061, 1.95158, 5.36433, 0.512019, 7.30762, 3.13612, 6.03434, 4.43041, 7.00329, 0.52097, 6.24818, 2.43515, 4.97762, 4.33177, 0.74323, 4.79035, 4.06132, 5.71458, 5.75564, 5.80562, 1.11344, 2.09863, 6.2504, 3.47429, 7.62378, 4.54955, 2.75411, 7.81768, 5.21286, 3.21467, 2.28922, 1.2166
7.28372, 1.95834, 5.35383, 0.529463, 7.28065, 3.12205, 6.03287, 4.44832, 7.02488, 0.525086, 6.24185, 2.42918, 4.99422, 4.31531, 0.7286, 4.80627, 4.06565, 5.73454, 5.75738, 5.79546, 1.12395, 2.09825, 6.24877, 3.48068, 7.61992, 4.54307, 2.74746, 7.80953, 5.21762, 3.20279, 2.27864, 1.20165
7.30672, 1.96521, 5.3434, 0.546923, 7.25371, 3.10777, 6.03167, 4.46914, 7.04643, 0.529356, 6.23562, 2.42264, 5.01004, 4.29871, 0.713879, 4.82216, 4.07007, 5.75444, 5.75909, 5.78505, 1.13451, 2.0978, 6.24802, 3.4854, 7.61598, 4.53644, 2.74077, 7.80149, 5.22213, 3.1908, 2.26799, 1.18667
7.32955, 1.97214, 5.33302, 0.564398, 7.22699, 3.09325, 6.03118, 4.49226, 7.06794, 0.533777, 6.22953, 2.41569, 5.02483, 4.28191, 0.699089, 4.83803, 4.07457, 5.77431, 5.76076, 5.77438, 1.14513, 2.09727, 6.24778, 3.48907, 7.61193, 4.52966, 2.73404, 7.79358, 5.22638, 3.17863, 2.25728, 1.17165
7.35217, 1.97906, 5.32271, 0.581891, 7.20076, 3.07845, 6.03173, 4.51715, 7.08943, 0.538351, 6.22363, 2.40849, 5.03841, 4.26484, 0.68425, 4.85387, 4.07916, 5.79415, 5.7624, 5.76343, 1.15582, 2.09664, 6.24763, 3.49231, 7.60775, 4.52274, 2.72727, 7.7858, 5.23039, 3.16624, 2.24651, 1.15658
7.37457, 1.98589, 5.31244, 0.599402, 7.17534, 3.06332, 6.03354, 4.54339, 7.1109, 0.543075, 6.2179, 2.40115, 5.05071, 4.24744, 0.669382, 4.8697, 4.08382, 5.81395, 5.76402, 5.75218, 1.16656, 2.09593, 6.24711, 3.49568, 7.60341, 4.51568, 2.72046, 7.77814, 5.23417, 3.15358, 2.23566, 1.14149
7.39678, 1.9925, 5.30222, 0.616932, 7.1511, 3.0478, 6.03662, 4.57068, 7.13235, 0.547949, 6.21233, 2.39375, 5.06179, 4.22971, 0.6545, 4.88552, 4.08856, 5.83372, 5.76562, 5.74063, 1.17737, 2.09512, 6.24575, 3.49965, 7.59891, 4.50849, 2.7136, 7.77061, 5.23774, 3.14059, 2.22476, 1.12636
