S,R,Z,Psi
3.16,0.0315918,0.0006556,0.0315985
3.17,0.0316917,0.000659259,0.0316985
3.18,0.0317916,0.000662928,0.0317984
3.19,0.0318915,0.000666606,0.0318984
3.2,0.0319915,0.000670295,0.0319984
3.21,0.0320914,0.000673994,0.0320984
3.22,0.0321913,0.000677703,0.0321984
3.23,0.0322913,0.000681422,0.0322984
3.24,0.0323912,0.000685151,0.0323984
3.25,0.0324911,0.00068889,0.0324984
3.26,0.0325911,0.000692639,0.0325984
3.27,0.032691,0.000696398,0.0326983
3.28,0.0327909,0.000700167,0.0327983
3.29,0.0328908,0.000703945,0.0328983
3.3,0.0329908,0.000707734,0.0329983
3.31,0.0330907,0.000711533,0.0330983
3.32,0.0331906,0.000715342,0.0331983
3.33,0.0332906,0.000719161,0.0332983
3.34,0.0333905,0.00072299,0.0333983
3.35,0.0334904,0.000726828,0.0334983
3.36,0.0335903,0.000730677,0.0335982
3.37,0.0336903,0.000734536,0.0336982
3.38,0.0337902,0.000738405,0.0337982
3.39,0.0338901,0.000742284,0.0338982
3.4,0.03399,0.000746172,0.0339982
3.41,0.03409,0.000750071,0.0340982
3.42,0.0341899,0.00075398,0.0341982
3.43,0.0342898,0.000757899,0.0342982
3.44,0.0343897,0.000761827,0.0343981
3.45,0.0344896,0.000765766,0.0344981
3.46,0.0345896,0.000769715,0.0345981
3.47,0.0346895,0.000773673,0.0346981
3.48,0.0347894,0.000777642,0.0347981
3.49,0.0348893,0.000781621,0.0348981
3.5,0.0349892,0.000785609,0.0349981
3.51,0.0350892,0.000789608,0.0350981
3.52,0.0351891,0.000793617,0.035198
3.53,0.035289,0.000797635,0.035298
3.54,0.0353889,0.000801664,0.035398
3.55,0.0354888,0.000805703,0.035498
3.56,0.0355888,0.000809751,0.035598
3.57,0.0356887,0.00081381,0.035698
3.58,0.0357886,0.000817878,0.035798
3.59,0.0358885,0.000821957,0.035898
3.6,0.0359884,0.000826046,0.0359979
3.61,0.0360883,0.000830144,0.0360979
3.62,0.0361883,0.000834253,0.0361979
3.63,0.0362882,0.000838371,0.0362979
3.64,0.0363881,0.0008425,0.0363979
3.65,0.036488,0.000846638,0.0364979
3.66,0.0365879,0.000850787,0.0365979
3.67,0.0366878,0.000854945,0.0366979
3.68,0.0367877,0.000859114,0.0367978
3.69,0.0368877,0.000863292,0.0368978
3.7,0.0369876,0.000867481,0.0369978
3.71,0.0370875,0.000871679,0.0370978
3.72,0.0371874,0.000875888,0.0371978
3.73,0.0372873,0.000880106,0.0372978
3.74,0.0373872,0.000884335,0.0373978
3.75,0.0374871,0.000888573,0.0374977
3.76,0.037587,0.000892821,0.0375977
3.77,0.0376869,0.00089708,0.0376977
3.78,0.0377868,0.000901348,0.0377977
3.79,0.0378868,0.000905627,0.0378977
3.8,0.0379867,0.000909915,0.0379977
3.81,0.0380866,0.000914213,0.0380977
3.82,0.0381865,0.000918522,0.0381976
3.83,0.0382864,0.00092284,0.0382976
3.84,0.0383863,0.000927168,0.0383976
3.85,0.0384862,0.000931507,0.0384976
3.86,0.0385861,0.000935855,0.0385976
3.87,0.038686,0.000940213,0.0386976
3.88,0.0387859,0.000944581,0.0387976
3.89,0.0388858,0.00094896,0.0388975
3.9,0.0389857,0.000953348,0.0389975
3.91,0.0390856,0.000957746,0.0390975
3.92,0.0391855,0.000962154,0.0391975
3.93,0.0392854,0.000966573,0.0392975
3.94,0.0393853,0.000971001,0.0393975
3.95,0.0394852,0.000975439,0.0394975
3.96,0.0395851,0.000979887,0.0395974
3.97,0.039685,0.000984345,0.0396974
3.98,0.0397849,0.000988814,0.0397974
3.99,0.0398848,0.000993292,0.0398974
4,0.0399847,0.00099778,0.0399974
4.01,0.0400846,0.00100228,0.0400974
4.02,0.0401845,0.00100679,0.0401974
4.03,0.0402844,0.0010113,0.0402973
4.04,0.0403843,0.00101583,0.0403973
4.05,0.0404842,0.00102037,0.0404973
4.06,0.0405841,0.00102492,0.0405973
4.07,0.040684,0.00102948,0.0406973
4.08,0.0407839,0.00103404,0.0407973
4.09,0.0408838,0.00103862,0.0408972
4.1,0.0409837,0.00104321,0.0409972
4.11,0.0410836,0.00104781,0.0410972
4.12,0.0411835,0.00105242,0.0411972
4.13,0.0412834,0.00105703,0.0412972
4.14,0.0413833,0.00106166,0.0413972
4.15,0.0414831,0.0010663,0.0414972
4.16,0.041583,0.00107095,0.0415971
4.17,0.0416829,0.00107561,0.0416971
4.18,0.0417828,0.00108027,0.0417971
4.19,0.0418827,0.00108495,0.0418971
4.2,0.0419826,0.00108964,0.0419971
4.21,0.0420825,0.00109434,0.0420971
4.22,0.0421824,0.00109905,0.042197
4.23,0.0422823,0.00110376,0.042297
4.24,0.0423822,0.00110849,0.042397
4.25,0.042482,0.00111323,0.042497
4.26,0.0425819,0.00111798,0.042597
4.27,0.0426818,0.00112273,0.042697
4.28,0.0427817,0.0011275,0.0427969
4.29,0.0428816,0.00113228,0.0428969
4.3,0.0429815,0.00113707,0.0429969
4.31,0.0430814,0.00114187,0.0430969
4.32,0.0431812,0.00114667,0.0431969
4.33,0.0432811,0.00115149,0.0432969
4.34,0.043381,0.00115632,0.0433968
4.35,0.0434809,0.00116116,0.0434968
4.36,0.0435808,0.001166,0.0435968
4.37,0.0436807,0.00117086,0.0436968
4.38,0.0437805,0.00117573,0.0437968
4.39,0.0438804,0.00118061,0.0438968
4.4,0.0439803,0.0011855,0.0439967
4.41,0.0440802,0.00119039,0.0440967
4.42,0.0441801,0.0011953,0.0441967
4.43,0.0442799,0.00120022,0.0442967
4.44,0.0443798,0.00120515,0.0443967
4.45,0.0444797,0.00121008,0.0444967
4.46,0.0445796,0.00121503,0.0445966
4.47,0.0446794,0.00121999,0.0446966
4.48,0.0447793,0.00122496,0.0447966
4.49,0.0448792,0.00122993,0.0448966
4.5,0.0449791,0.00123492,0.0449966
4.51,0.0450789,0.00123992,0.0450966
4.52,0.0451788,0.00124493,0.0451965
4.53,0.0452787,0.00124994,0.0452965
4.54,0.0453786,0.00125497,0.0453965
4.55,0.0454784,0.00126001,0.0454965
4.56,0.0455783,0.00126506,0.0455965
4.57,0.0456782,0.00127011,0.0456964
4.58,0.0457781,0.00127518,0.0457964
4.59,0.0458779,0.00128026,0.0458964
4.6,0.0459778,0.00128534,0.0459964
4.61,0.0460777,0.00129044,0.0460964
4.62,0.0461775,0.00129555,0.0461964
