x1,y1,x2,y2vx1,vy1,vx2,vy2
0.631871, -0.202178, -0.315936, 0.101089, -0.640057, -1.06573, 0.320029, 0.532864
0.625278, -0.212729, -0.312639, 0.106365, -0.659292, -1.05957, 0.329646, 0.529787
0.618492, -0.223215, -0.309246, 0.111608, -0.678583, -1.05301, 0.339292, 0.526505
0.611513, -0.233631, -0.305757, 0.116815, -0.697921, -1.04603, 0.348961, 0.523016
0.60434, -0.243973, -0.30217, 0.121986, -0.717298, -1.03863, 0.358649, 0.519314
0.596973, -0.254236, -0.298487, 0.127118, -0.736704, -1.03079, 0.368352, 0.515397
0.589412, -0.264417, -0.294706, 0.132209, -0.756129, -1.02252, 0.378064, 0.511261
0.581656, -0.274511, -0.290828, 0.137255, -0.775562, -1.0138, 0.387781, 0.506902
0.573706, -0.284513, -0.286853, 0.142256, -0.794994, -1.00463, 0.397497, 0.502316
0.565562, -0.294418, -0.282781, 0.147209, -0.814413, -0.995002, 0.407207, 0.497501
0.557224, -0.304223, -0.278612, 0.152111, -0.833807, -0.984906, 0.416904, 0.492453
0.548692, -0.313922, -0.274346, 0.156961, -0.853164, -0.974338, 0.426582, 0.487169
0.539968, -0.32351, -0.269984, 0.161755, -0.872472, -0.963292, 0.436236, 0.481646
0.53105, -0.332983, -0.265525, 0.166492, -0.891716, -0.951762, 0.445858, 0.475881
0.521942, -0.342336, -0.260971, 0.171168, -0.910884, -0.939743, 0.455442, 0.469872
0.512642, -0.351564, -0.256321, 0.175782, -0.929961, -0.927231, 0.46498, 0.463615
0.503153, -0.360662, -0.251576, 0.180331, -0.948933, -0.91422, 0.474466, 0.45711
0.493475, -0.369625, -0.246737, 0.184812, -0.967784, -0.900707, 0.483892, 0.450354
0.48361, -0.378447, -0.241805, 0.189224, -0.986499, -0.886689, 0.49325, 0.443345
0.473559, -0.387124, -0.23678, 0.193562, -1.00506, -0.872163, 0.502531, 0.436081
0.463325, -0.395651, -0.231662, 0.197826, -1.02346, -0.857125, 0.511729, 0.428563
0.452908, -0.404022, -0.226454, 0.202011, -1.04167, -0.841575, 0.520834, 0.420787
0.442311, -0.412233, -0.221156, 0.206116, -1.05967, -0.825511, 0.529837, 0.412756
0.431537, -0.420278, -0.215768, 0.210139, -1.07746, -0.808934, 0.538731, 0.404467
0.420586, -0.428152, -0.210293, 0.214076, -1.09501, -0.791842, 0.547506, 0.395921
0.409463, -0.43585, -0.204732, 0.217925, -1.1123, -0.774238, 0.556152, 0.387119
0.39817, -0.443367, -0.199085, 0.221683, -1.12932, -0.756123, 0.564662, 0.378061
0.38671, -0.450697, -0.193355, 0.225349, -1.14605, -0.737499, 0.573024, 0.36875
0.375085, -0.457836, -0.187543, 0.228918, -1.16246, -0.718371, 0.58123, 0.359186
0.3633, -0.464779, -0.18165, 0.23239, -1.17854, -0.698742, 0.589271, 0.349371
0.351357, -0.471521, -0.175678, 0.235761, -1.19427, -0.678618, 0.597136, 0.339309
0.339261, -0.478057, -0.16963, 0.239028, -1.20963, -0.658005, 0.604816, 0.329003
0.327015, -0.484381, -0.163507, 0.242191, -1.2246, -0.63691, 0.612301, 0.318455
0.314623, -0.49049, -0.157312, 0.245245, -1.23916, -0.615342, 0.619582, 0.307671
0.30209, -0.496379, -0.151045, 0.248189, -1.2533, -0.593308, 0.626648, 0.296654
0.28942, -0.502043, -0.14471, 0.251021, -1.26698, -0.570819, 0.633492, 0.28541
0.276618, -0.507477, -0.138309, 0.253739, -1.2802, -0.547887, 0.640102, 0.273944
0.263689, -0.512678, -0.131844, 0.256339, -1.29294, -0.524523, 0.646469, 0.262262
0.250637, -0.517641, -0.125319, 0.25882, -1.30517, -0.500741, 0.652585, 0.25037
0.237468, -0.522362, -0.118734, 0.261181, -1.31688, -0.476554, 0.658441, 0.238277
0.224188, -0.526837, -0.112094, 0.263419, -1.32805, -0.451977, 0.664027, 0.225988
0.210801, -0.531063, -0.105401, 0.265532, -1.33867, -0.427027, 0.669336, 0.213513
0.197314, -0.535036, -0.0986569, 0.267518, -1.34872, -0.40172, 0.674359, 0.20086
0.183732, -0.538752, -0.091866, 0.269376, -1.35817, -0.376074, 0.679087, 0.188037
0.170062, -0.542209, -0.0850309, 0.271104, -1.36703, -0.350109, 0.683515, 0.175054
0.156309, -0.545403, -0.0781546, 0.272701, -1.37527, -0.323843, 0.687634, 0.161921
0.14248, -0.548331, -0.0712402, 0.274166, -1.38288, -0.297298, 0.691438, 0.148649
0.128582, -0.550992, -0.064291, 0.275496, -1.38984, -0.270494, 0.69492, 0.135247
0.11462, -0.553382, -0.0573102, 0.276691, -1.39615, -0.243453, 0.698075, 0.121727
0.100602, -0.555499, -0.0503012, 0.27775, -1.4018, -0.216199, 0.700898, 0.1081
0.0865348, -0.557343, -0.0432674, 0.278671, -1.40677, -0.188755, 0.703383, 0.0943773
0.0724243, -0.55891, -0.0362121, 0.279455, -1.41105, -0.161143, 0.705527, 0.0805717
0.0582778, -0.560199, -0.0291389, 0.2801, -1.41465, -0.13339, 0.707325, 0.0666949
0.0441023, -0.56121, -0.0220511, 0.280605, -1.41755, -0.105519, 0.708775, 0.0527595
0.0299048, -0.561941, -0.0149524, 0.28097, -1.41975, -0.0775559, 0.709873, 0.0387779
0.0156924, -0.562392, -0.00784622, 0.281196, -1.42124, -0.0495258, 0.710619, 0.0247629
0.00147223, -0.562562, -0.000736116, 0.281281, -1.42202, -0.0214545, 0.711011, 0.0107272
-0.0127487, -0.562451, 0.00637436, 0.281226, -1.42209, 0.00663233, 0.711047, -0.00331616
-0.0269633, -0.56206, 0.0134817, 0.28103, -1.42146, 0.0347089, 0.710729, -0.0173544
-0.0411644, -0.561388, 0.0205822, 0.280694, -1.42011, 0.0627493, 0.710057, -0.0313747
-0.0553451, -0.560436, 0.0276725, 0.280218, -1.41806, 0.0907281, 0.709031, -0.0453641
-0.0694981, -0.559205, 0.0347491, 0.279603, -1.41531, 0.11862, 0.707654, -0.0593099
-0.0836167, -0.557697, 0.0418083, 0.278848, -1.41186, 0.146399, 0.705928, -0.0731995
-0.0976938, -0.555912, 0.0488469, 0.277956, -1.40771, 0.174041, 0.703855, -0.0870205
-0.111723, -0.553852, 0.0558613, 0.276926, -1.40288, 0.201521, 0.701441, -0.100761
-0.125696, -0.55152, 0.0628482, 0.27576, -1.39738, 0.228816, 0.698688, -0.114408
-0.139608, -0.548916, 0.0698042, 0.274458, -1.3912, 0.255901, 0.695601, -0.127951
-0.153452, -0.546044, 0.0767261, 0.273022, -1.38437, 0.282755, 0.692186, -0.141378
-0.167221, -0.542906, 0.0836105, 0.271453, -1.3769, 0.309355, 0.688449, -0.154677
-0.180909, -0.539505, 0.0904545, 0.269752, -1.36879, 0.335679, 0.684395, -0.167839
-0.19451, -0.535843, 0.0972548, 0.267922, -1.36006, 0.361707, 0.680031, -0.180853
-0.208017, -0.531925, 0.104008, 0.265962, -1.35073, 0.387419, 0.675364, -0.193709
-0.221425, -0.527752, 0.110712, 0.263876, -1.3408, 0.412796, 0.670402, -0.206398
-0.234728, -0.52333, 0.117364, 0.261665, -1.3303, 0.43782, 0.665152, -0.21891
-0.24792, -0.518661, 0.12396, 0.25933, -1.31925, 0.462474, 0.659623, -0.231237
-0.260997, -0.513749, 0.130498, 0.256874, -1.30765, 0.486741, 0.653824, -0.243371
-0.273952, -0.508598, 0.136976, 0.254299, -1.29552, 0.510607, 0.647761, -0.255304
