x1,y1,x2,y2vx1,vy1,vx2,vy2
0.743673, 0.290317, -0.371837, -0.145159, 0.0994536, -1.03692, -0.0497268, 0.518458
0.744538, 0.279897, -0.372269, -0.139949, 0.0864615, -1.04199, -0.0432307, 0.520994
0.745271, 0.269428, -0.372635, -0.134714, 0.0733105, -1.04693, -0.0366552, 0.523466
0.745871, 0.25891, -0.372935, -0.129455, 0.0599997, -1.05174, -0.0299999, 0.525872
0.746336, 0.248346, -0.373168, -0.124173, 0.0465286, -1.05642, -0.0232643, 0.52821
0.746665, 0.237737, -0.373333, -0.118868, 0.0328963, -1.06096, -0.0164482, 0.530478
0.746856, 0.227083, -0.373428, -0.113542, 0.0191023, -1.06535, -0.00955113, 0.532674
0.746908, 0.216387, -0.373454, -0.108194, 0.00514588, -1.06959, -0.00257294, 0.534796
0.746818, 0.20565, -0.373409, -0.102825, -0.00897333, -1.07368, 0.00448666, 0.536841
0.746585, 0.194874, -0.373293, -0.0974371, -0.0232558, -1.07762, 0.0116279, 0.538808
0.746208, 0.18406, -0.373104, -0.0920302, -0.0377019, -1.08139, 0.018851, 0.540693
0.745685, 0.173211, -0.372843, -0.0866053, -0.052312, -1.08499, 0.026156, 0.542495
0.745014, 0.162326, -0.372507, -0.0811631, -0.0670861, -1.08842, 0.0335431, 0.544211
0.744194, 0.15141, -0.372097, -0.0757048, -0.0820245, -1.09168, 0.0410123, 0.545838
0.743223, 0.140462, -0.371611, -0.070231, -0.0971272, -1.09475, 0.0485636, 0.547375
0.742099, 0.129486, -0.371049, -0.0647428, -0.112394, -1.09763, 0.056197, 0.548817
0.740821, 0.118482, -0.37041, -0.0592412, -0.127825, -1.10033, 0.0639123, 0.550164
0.739386, 0.107454, -0.369693, -0.0537271, -0.143419, -1.10282, 0.0717095, 0.551411
0.737795, 0.0964031, -0.368897, -0.0482015, -0.159177, -1.10511, 0.0795883, 0.552556
0.736044, 0.0853312, -0.368022, -0.0426656, -0.175097, -1.10719, 0.0875484, 0.553596
0.734132, 0.0742406, -0.367066, -0.0371203, -0.191179, -1.10906, 0.0955895, 0.554528
0.732058, 0.0631336, -0.366029, -0.0315668, -0.207422, -1.1107, 0.103711, 0.555349
0.729819, 0.0520125, -0.36491, -0.0260062, -0.223825, -1.11211, 0.111913, 0.556057
0.727416, 0.0408796, -0.363708, -0.0204398, -0.240387, -1.11329, 0.120194, 0.556647
0.724844, 0.0297372, -0.362422, -0.0148686, -0.257107, -1.11423, 0.128554, 0.557117
0.722105, 0.018588, -0.361052, -0.00929399, -0.273983, -1.11493, 0.136991, 0.557463
0.719194, 0.00743434, -0.359597, -0.00371717, -0.291013, -1.11536, 0.145506, 0.557682
0.716113, -0.00372108, -0.358056, 0.00186054, -0.308195, -1.11554, 0.154098, 0.557771
0.712857, -0.0148756, -0.356429, 0.00743779, -0.325528, -1.11545, 0.162764, 0.557726
0.709427, -0.0260265, -0.354714, 0.0130132, -0.343009, -1.11509, 0.171504, 0.557543
0.705821, -0.0371709, -0.35291, 0.0185854, -0.360635, -1.11444, 0.180317, 0.55722
0.702037, -0.0483059, -0.351018, 0.0241529, -0.378404, -1.1135, 0.189202, 0.556752
0.698074, -0.0594286, -0.349037, 0.0297143, -0.396312, -1.11227, 0.198156, 0.556136
0.69393, -0.070536, -0.346965, 0.035268, -0.414356, -1.11074, 0.207178, 0.555368
0.689605, -0.0816249, -0.344802, 0.0408124, -0.432533, -1.10889, 0.216266, 0.554444
0.685096, -0.0926921, -0.342548, 0.046346, -0.450839, -1.10672, 0.225419, 0.553361
0.680404, -0.103734, -0.340202, 0.0518672, -0.469269, -1.10423, 0.234634, 0.552114
0.675526, -0.114748, -0.337763, 0.0573742, -0.487819, -1.1014, 0.243909, 0.5507
0.670461, -0.125731, -0.33523, 0.0628653, -0.506484, -1.09823, 0.253242, 0.549115
0.665208, -0.136678, -0.332604, 0.0683389, -0.525259, -1.09471, 0.26263, 0.547354
0.659767, -0.147586, -0.329883, 0.073793, -0.544139, -1.09083, 0.272069, 0.545415
0.654136, -0.158452, -0.327068, 0.0792259, -0.563117, -1.08658, 0.281559, 0.543292
0.648314, -0.169271, -0.324157, 0.0846357, -0.582188, -1.08196, 0.291094, 0.540982
0.6423, -0.180041, -0.32115, 0.0900206, -0.601344, -1.07696, 0.300672, 0.538481
0.636094, -0.190757, -0.318047, 0.0953784, -0.62058, -1.07157, 0.31029, 0.535785
0.629696, -0.201415, -0.314848, 0.100707, -0.639886, -1.06578, 0.319943, 0.532891
0.623103, -0.21201, -0.311551, 0.106005, -0.659256, -1.05959, 0.329628, 0.529793
0.616316, -0.22254, -0.308158, 0.11127, -0.678681, -1.05298, 0.339341, 0.526488
0.609335, -0.233, -0.304667, 0.1165, -0.698153, -1.04595, 0.349077, 0.522973
0.602158, -0.243385, -0.301079, 0.121692, -0.717662, -1.03849, 0.358831, 0.519243
0.594786, -0.25369, -0.297393, 0.126845, -0.737199, -1.03059, 0.368599, 0.515294
0.587218, -0.263913, -0.293609, 0.131956, -0.756753, -1.02225, 0.378377, 0.511124
0.579455, -0.274047, -0.289728, 0.137024, -0.776315, -1.01346, 0.388157, 0.506728
0.571497, -0.28409, -0.285748, 0.142045, -0.795872, -1.00421, 0.397936, 0.502104
0.563342, -0.294034, -0.281671, 0.147017, -0.815414, -0.994493, 0.407707, 0.497247
0.554993, -0.303878, -0.277497, 0.151939, -0.834928, -0.984308, 0.417464, 0.492154
0.546449, -0.313614, -0.273225, 0.156807, -0.854402, -0.973645, 0.427201, 0.486822
0.537711, -0.323239, -0.268855, 0.16162, -0.873823, -0.962499, 0.436912, 0.481249
0.528779, -0.332748, -0.26439, 0.166374, -0.893178, -0.950864, 0.446589, 0.475432
0.519655, -0.342135, -0.259827, 0.171067, -0.912452, -0.938735, 0.456226, 0.469368
0.510338, -0.351396, -0.255169, 0.175698, -0.931632, -0.926108, 0.465816, 0.463054
0.500831, -0.360526, -0.250416, 0.180263, -0.950701, -0.912977, 0.475351, 0.456489
0.491135, -0.369519, -0.245567, 0.18476, -0.969645, -0.89934, 0.484823, 0.44967
0.48125, -0.378371, -0.240625, 0.189186, -0.988448, -0.885193, 0.494224, 0.442597
