p_La_gamma,volumes
3.875,0.175721
3.88,0.176818
3.885,0.17784
3.89,0.178937
3.895,0.179957
3.9,0.181128
3.905,0.182223
3.91,0.183392
3.915,0.184637
3.92,0.185806
3.925,0.187125
3.93,0.188368
3.935,0.189686
3.94,0.191079
3.945,0.192472
3.95,0.19394
3.955,0.195407
3.96,0.19695
3.965,0.198568
3.97,0.200262
3.975,0.201955
3.98,0.203724
3.985,0.205645
3.99,0.207565
3.995,0.209637
4,0.211785
4.005,0.214087
4.01,0.216464
4.015,0.219071
4.02,0.221832
4.025,0.224823
4.03,0.228123
4.035,0.231809
4.04,0.23596
4.045,0.24081
4.05,0.246906
4.055,0.255346
4.06,0.785736
4.065,0.78451
4.07,0.783366
4.075,0.782229
4.08,0.781174
4.085,0.780126
4.09,0.779084
4.095,0.778125
4.1,0.777172
4.105,0.776301
4.11,0.775512
4.115,0.774729
4.12,0.774028
4.125,0.773333
4.13,0.772795
4.135,0.772264
4.14,0.771737
4.145,0.771368
4.15,0.771005
4.155,0.770799
4.16,0.770598
4.165,0.770555
4.17,0.770516
4.175,0.770712
4.18,0.770911
4.185,0.771268
4.19,0.771783
4.195,0.772456
4.2,0.773286
4.205,0.77435
4.21,0.775649
4.215,0.777182
4.22,0.779105
4.225,0.781417
4.23,0.784274
4.235,0.787909
4.24,0.792634
4.245,0.799153
4.25,0.810284
4.255,1.45249
4.26,1.44692
4.265,1.44145
4.27,1.43595
4.275,1.43062
4.28,1.42525
4.285,1.41998
4.29,1.41482
4.295,1.40962
4.3,1.40452
4.305,1.39952
4.31,1.39455
4.315,1.38961
4.32,1.3847
4.325,1.37988
4.33,1.37517
4.335,1.37049
4.34,1.36583
4.345,1.3612
4.35,1.35667
4.355,1.35224
4.36,1.34783
4.365,1.34344
4.37,1.33916
4.375,1.3349
4.38,1.33066
4.385,1.32659
4.39,1.32247
4.395,1.31845
4.4,1.31453
4.405,1.31062
4.41,1.30674
4.415,1.30295
4.42,1.29926
4.425,1.29559
4.43,1.29201
4.435,1.28845
4.44,1.28499
4.445,1.28162
4.45,1.27827
4.455,1.27501
4.46,1.27177
4.465,1.2687
4.47,1.26565
4.475,1.26261
4.48,1.25974
4.485,1.25688
4.49,1.25412
4.495,1.25152
4.5,1.24894
4.505,1.24645
4.51,1.24405
4.515,1.24174
4.52,1.23952
4.525,1.23747
4.53,1.2355
4.535,1.23362
4.54,1.23191
4.545,1.23029
4.55,1.2289
4.555,1.22761
4.56,1.22655
4.565,1.22558
4.57,1.22493
4.575,1.22452
4.58,1.22435
4.585,1.22449
4.59,1.22494
4.595,1.22595
4.6,1.22742
4.605,1.2296
4.61,1.23271
4.615,1.23721
4.62,1.24382
4.625,1.25503
4.63,2.08388
4.635,2.0728
4.64,2.06175
4.645,2.05096
4.65,2.04019
4.655,2.02966
4.66,2.01916
4.665,2.00883
4.67,1.99859
4.675,1.98851
4.68,1.97852
4.685,1.96863
4.69,1.95889
4.695,1.94931
4.7,1.93981
4.705,1.93039
4.71,1.92112
4.715,1.91194
4.72,1.90283
4.725,1.89387
4.73,1.88505
4.735,1.87631
4.74,1.86764
4.745,1.85911
4.75,1.85073
4.755,1.84241
4.76,1.83416
4.765,1.82604
4.77,1.81806
4.775,1.81015
4.78,1.80229
4.785,1.79465
4.79,1.78698
4.795,1.77945
4.8,1.77205
4.805,1.7647
4.81,1.75749
4.815,1.7504
4.82,1.74336
4.825,1.73637
4.83,1.72958
4.835,1.72285
4.84,1.71616
4.845,1.70959
4.85,1.70314
4.855,1.69681
4.86,1.69053
4.865,1.68436
4.87,1.67832
4.875,1.67231
4.88,1.66642
4.885,1.66065
4.89,1.65499
4.895,1.64936
4.9,1.64393
4.905,1.63853
